"","Plot_ID","n_months","var_name","sim_value","obs_value","residual_value"
"511",47,85,"basal_area",16.0165279072757,24.2,8.18347209272433
"512",47,144,"basal_area",22.278854847304,22.5,0.221145152695982
"513",47,205,"basal_area",19.3459855248832,26,6.65401447511684
"514",47,348,"basal_area",25.5199806210548,25.5,-0.0199806210548168
"515",47,420,"basal_area",32.0316521189707,22.2,-9.83165211897068
"516",47,494,"basal_area",30.4941447500622,25,-5.49414475006218
"517",48,85,"basal_area",23.9981189343102,23.7,-0.298118934310178
"518",48,144,"basal_area",28.7432372659712,28.5,-0.243237265971221
"519",48,205,"basal_area",32.6301917907943,33.2,0.569808209205675
"520",48,348,"basal_area",36.8048506594231,42.2,5.39514934057688
"521",48,420,"basal_area",36.8171032763986,42.3,5.48289672360142
"522",48,494,"basal_area",39.1247138940677,41.3,2.1752861059323
"523",49,85,"basal_area",23.7285892465925,25,1.27141075340754
"524",49,144,"basal_area",30.0458277164253,29.5,-0.545827716425276
"525",49,205,"basal_area",21.6105039115589,34.2,12.5894960884411
